 name , ra , dec , distance_Mpc
 NGC5102 ,200.4908,-36.6297,3.4
 KDG002 ,12.3379,-18.0744,3.4
 FM1 ,146.2917,68.765,3.4
 ESO540-032 ,12.6025,-19.9069,3.42
 ESO383-087 ,207.3283,-36.0614,3.45
 NGC1560 ,68.2079,71.8811,3.45
 NGC5206 ,203.4329,-48.1511,3.47
 ESO269-037 ,195.89,-46.5842,3.48
 KK77 ,147.5417,67.5067,3.48
 KDG063 ,151.2804,66.555,3.5
 KKH22 ,56.2358,72.0644,3.5
 MESSIER082 ,148.9746,69.6825,3.53
 HIPASS J0630+08 ,97.5375,8.3769,3.55
 KDG052 ,125.9833,71.0294,3.55
 NGC5253 ,204.9825,-31.64,3.56
 DDO053 ,128.5271,66.1792,3.56
 NGC2976 ,146.815,67.9136,3.56
 PGC051659 ,217.0154,-46.3017,3.58
 KK211 ,205.5233,-45.205,3.58
 ESO174-001 ,206.9904,-53.3511,3.6
 ESO270-017 ,203.6971,-45.5475,3.6
 KK203 ,201.8671,-45.3525,3.6
 NGC5011C ,198.2996,-43.2656,3.6
 [KK2000] 51 ,191.0896,-42.9397,3.6
 [KK2000] 53 ,197.8092,-38.9061,3.6
 [KK2000] 58 ,206.5033,-36.3289,3.6
 KDG061 ,149.2612,68.5917,3.6
 [CKT2009]d0959+68 ,149.8879,68.6569,3.6
 ClumpIII ,150.1683,68.6603,3.6
 ClumpI ,149.3383,68.7153,3.6
 UGCA292 ,189.6667,32.7667,3.61
 HolmIX ,149.385,69.0431,3.61
 KK213 ,205.8992,-43.7692,3.63
 NGC6789 ,289.1742,63.9728,3.63
 MESSIER081 ,148.8896,69.0667,3.63
 [CKT2009]d0939+71 ,144.8162,71.3117,3.63
 NGC0247 ,11.7846,-20.76,3.65
 CenN ,207.0383,-47.565,3.66
 [CKT2009]d0934+70 ,143.5154,70.2158,3.66
 UGC05497 ,153.2017,64.1075,3.7
 KDG064 ,151.7579,67.8275,3.7
 HIJASS J1021+6842 ,155.2508,68.7,3.7
 KDG073 ,163.2379,69.5458,3.7
 DDO078 ,156.6163,67.6567,3.72
 ESO324-024 ,201.9058,-41.4806,3.73
 KKH6 ,23.715,52.0917,3.73
 NGC5128 ,201.3704,-43.0167,3.75
 IKN ,152.0246,68.3992,3.75
 F8D1 ,146.2083,67.4756,3.77
 NGC2915 ,141.5479,-76.6264,3.78
 BK5N ,151.1679,68.2556,3.78
 NGC4945 ,196.3587,-49.4711,3.8
 ESO269-058 ,197.6371,-46.9908,3.8
 ESO269-066 ,198.2883,-44.89,3.82
 GARLAND ,150.925,68.6933,3.82
 NGC3077 ,150.8375,68.7339,3.82
 KK217 ,206.5717,-45.6847,3.84
 HolmI ,145.1346,71.1864,3.84
 BK6N ,158.6329,66.0117,3.85
 KK197 ,200.5075,-42.5356,3.87
 [CKT2009]d1006+67 ,151.6925,67.2011,3.87
 A0952+69 ,149.3708,69.2722,3.87
 NGC0625 ,23.7708,-41.4364,3.89
 UGC06541 ,173.3713,49.2381,3.89
 NGC7793 ,359.4558,-32.59,3.91
 KKH57 ,150.0667,63.185,3.91
 [CKT2009]d1041+70 ,160.32,70.1508,3.91
 [KK2000] 57 ,205.4087,-42.5819,3.93
 [CKT2009]d0955+70 ,148.8067,70.4081,3.93
 [CKT2009]d0926+70 ,141.6163,70.5067,3.93
 CamA ,66.315,72.8058,3.93
 [KK2000] 55 ,200.5517,-42.7308,3.94
 NGC0253 ,11.8929,-25.2922,3.94
 HS117 ,155.355,71.1161,3.96
 KK27 ,50.2625,-66.3197,3.98
 KK221 ,207.1933,-46.9969,3.98
 KK196 ,200.4462,-45.0633,3.98
 [CKT2009]d0944+69 ,146.0938,69.2111,3.98
 [CKT2009]d1028+70 ,157.1654,70.2336,4
 DDO082 ,157.6458,70.6194,4
 IC2574 ,157.0933,68.4161,4.02
 BK3N ,148.4521,68.9692,4.02
 DDO154 ,193.5217,27.1486,4.04
 [CKT2009]d0958+66 ,149.7021,66.8497,4.04
 NGC1313 ,49.5642,-66.4975,4.07
 LV J1228+4358 ,187.1871,43.9717,4.07
 [CKT2009]d1015+69 ,153.7788,69.0375,4.07
 [KK2000] 03 ,36.1779,-73.5128,4.1
 UGC01703 ,33.2325,32.8142,4.19
 DDO167 ,198.345,46.3197,4.19
 CIRCINUS ,213.2887,-65.3392,4.2
 DDO169NW ,198.8338,47.5436,4.2
 KK189 ,198.1875,-41.8319,4.21
 Sc22 ,5.9654,-24.705,4.21
 NGC4449 ,187.0467,44.0944,4.21
 UGC07298 ,184.1192,52.2272,4.21
 ESO490-017 ,99.4858,-25.9997,4.23
 UGCA442 ,355.9417,-31.9592,4.27
 UGC08638 ,204.8308,24.7758,4.27
 KKH5 ,16.8854,51.4403,4.27
 ESO219-010 ,194.04,-50.1439,4.29
 KK160 ,190.9892,43.6614,4.31
 NGC4068 ,181.01,52.5886,4.31
 DDO168 ,198.6192,45.9194,4.33
 UGC06456 ,172.0025,78.9914,4.35
 HIDEEP J1337-33 ,204.2525,-33.3631,4.37
 NGC4826 ,194.1842,21.6847,4.37
 KK180 ,196.1246,17.7589,4.4
 KK177 ,195.6746,21.9975,4.4
 IC4316 ,205.0754,-28.8944,4.41
 DDO169 ,198.8779,47.4964,4.41
 ESO245-005 ,26.265,-43.5981,4.43
 LV J0913+1937 ,138.4125,19.6189,4.43
 KKH18 ,45.7746,33.6944,4.43
 UGC07605 ,187.1625,35.7181,4.43
 NGC4236 ,184.1804,69.4656,4.45
 NGC4244 ,184.3746,37.8075,4.49
 UGC00685 ,16.8429,16.6839,4.51
 KK109 ,176.7967,43.6719,4.51
 NGC5238 ,203.6779,51.6139,4.51
 ESO384-016 ,209.2567,-35.3339,4.53
 NGC5264 ,205.4042,-29.9139,4.53
 UGC08215 ,197.015,46.8281,4.55
 ESO059-001 ,112.8304,-68.1861,4.57
 IC3687 ,190.5629,38.5019,4.57
 DDO165 ,196.6117,67.7042,4.57
 [CKT2009]d1014+68 ,153.7325,68.7575,4.57
 MCG +09-20-131 ,183.9446,52.3875,4.59
 KK198 ,200.7337,-33.5728,4.6
 [KK2000] 54 ,200.385,-31.8864,4.6
 KK218 ,206.6646,-29.9792,4.6
 AM1320-230 ,200.8746,-23.3931,4.6
 UGC07596 ,187.1413,8.6397,4.6
 ESO444-084 ,204.3342,-28.0461,4.61
 NGC4395 ,186.4575,33.5461,4.61
 KKH34 ,89.9217,73.4275,4.61
 KK200 ,201.15,-30.9722,4.63
 NGC4736 ,192.7229,41.1194,4.66
 NGC5204 ,202.4017,58.4178,4.66
 KK208 ,204.1479,-29.5708,4.68
 KKH78 ,184.4354,33.3453,4.7
 IC4182 ,196.4554,37.6058,4.7
 VCC0381 ,184.9754,6.6658,4.71
 UGC11411 ,287.1762,70.2839,4.73
 KK166 ,192.3054,35.6125,4.74
 NGC5408 ,210.8396,-41.3764,4.81
 HIPASS J1337-39 ,204.3546,-39.8978,4.83
 MCG +06-27-017 ,182.485,36.4353,4.83
 DDO133 ,188.2208,31.5392,4.85
 ESO379-024 ,181.2363,-35.7431,4.88
 DDO126 ,186.7713,37.1425,4.88
 FG202 ,106.3213,-58.5206,4.9
 KK17 ,30.0413,28.8325,4.9
 NGC3738 ,173.9525,54.5228,4.9
 NGC5236 ,204.2504,-29.8678,4.92
 DDO226 ,10.7658,-22.2503,4.92
 UGC01281 ,27.3846,32.5925,4.94
 IC4247 ,201.685,-30.3625,4.97
 NGC0784 ,30.32,28.8436,4.97
 ESO115-021 ,39.4375,-61.3411,4.99
 ESO489-056 ,96.5708,-26.2656,4.99
 KDG218 ,196.4333,-7.7556,5
 CGCG 189-050 ,199.2704,37.9525,5.04
 ESO553-046 ,81.7738,-20.6781,5.07
 NGC1705 ,73.5571,-53.3614,5.11
 KKSG19 ,156.1179,-12.4325,5.11
 KK49 ,85.4229,6.6817,5.15
 LV J0956-0929 ,149.1567,-9.4864,5.18
 NGC1311 ,50.0308,-52.185,5.2
 UGC07636 ,187.5042,7.9294,5.2
 ESO379-007 ,178.6792,-33.5581,5.22
 KK195 ,200.2842,-31.5297,5.22
 ESO215-009 ,164.3758,-48.1789,5.25
 UGCA365 ,204.1283,-29.2364,5.25
 NGC6503 ,267.365,70.1447,5.27
 NGC0059 ,3.8546,-21.4439,5.3
 ESO381-018 ,191.1779,-35.9667,5.32
 SBS 1224+533 ,186.7192,53.1053,5.35
 AGC748778 ,1.6433,15.5108,5.4
 KK165 ,192.2196,31.9703,5.4
 NGC4656 ,190.99,32.1703,5.4
 DDO147 ,191.7492,36.4764,5.4
 UGC02773 ,53.0296,47.7936,5.4
 UGC07242 ,183.5308,66.0922,5.42
 ESO381-020 ,191.5017,-33.8381,5.45
 NGC5068 ,199.7304,-21.0392,5.45
 KK16 ,28.8358,27.9542,5.47
 NGC4605 ,190.0012,61.6081,5.47
 A0554+07 ,89.4029,7.4919,5.5
 KDG215 ,193.9187,19.2092,5.5
 IC3840 ,192.9421,21.7353,5.5
